COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
4243044,2019-11-16 13:00:00,2019,11,13,Saturday,UNKNOWN,,40.821,-73.8969,1.0,0.0,Driver Inattention/Distraction,Sedan,3.0,1.0,0.0,0.0,0.0,0.0,35.0
2964871,2012-07-12 03:20:00,2012,7,3,Thursday,UNKNOWN,,,,0.0,0.0,Unspecified,SPORT UTILITY / STATION WAGON,,,,,,,
3151908,2015-01-12 12:20:00,2015,1,12,Monday,STATEN ISLAND,10312.0,40.551018,-74.1698451,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
358421,2014-06-27 09:40:00,2014,6,9,Friday,MANHATTAN,10013.0,40.7204364,-74.0066956,0.0,0.0,Oversized Vehicle,BUS,,,,,,,
4761140,2024-10-06 01:10:00,2024,10,1,Sunday,BROOKLYN,11210.0,40.637005,-73.95211,6.0,0.0,Reaction to Uninvolved Vehicle,Sedan,12.0,6.0,0.0,0.0,0.0,0.0,35.5
4454332,2021-09-06 15:50:00,2021,9,15,Monday,UNKNOWN,,40.619568,-73.98628,0.0,0.0,Turning Improperly,Sedan,5.0,0.0,0.0,0.0,0.0,0.0,41.0
4715167,2024-04-04 17:50:00,2024,4,17,Thursday,UNKNOWN,,40.70007,-73.95413,0.0,0.0,Driver Inattention/Distraction,Bike,2.0,0.0,0.0,0.0,0.0,0.0,23.5
4594798,2022-12-27 22:28:00,2022,12,22,Tuesday,UNKNOWN,,,,0.0,0.0,Driver Inattention/Distraction,Sedan,3.0,0.0,0.0,0.0,0.0,0.0,31.0
4307425,2020-04-03 00:00:00,2020,4,0,Friday,BRONX,10466.0,40.889923,-73.85931,0.0,0.0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,7.0,0.0,0.0,0.0,0.0,0.0,57.0
3496585,2016-08-02 20:00:00,2016,8,20,Tuesday,BROOKLYN,11213.0,40.672363,-73.93079,1.0,0.0,Unspecified,Sedan,4.0,1.0,0.0,0.0,0.0,0.0,33.5
3123046,2013-12-24 17:35:00,2013,12,17,Tuesday,UNKNOWN,,,,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
288628,2013-06-23 12:35:00,2013,6,12,Sunday,STATEN ISLAND,10301.0,40.6176136,-74.1045841,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
4323079,2020-06-25 10:05:00,2020,6,10,Thursday,QUEENS,11360.0,40.778408,-73.77679,0.0,0.0,Passing Too Closely,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,50.0
3858376,2018-03-07 08:20:00,2018,3,8,Wednesday,MANHATTAN,10009.0,,,0.0,0.0,Unspecified,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,14.0
4503801,2022-02-16 17:38:00,2022,2,17,Wednesday,UNKNOWN,,40.605427,-74.0762,1.0,0.0,Turning Improperly,Station Wagon/Sport Utility Vehicle,4.0,1.0,0.0,0.0,0.0,0.0,48.0
275250,2013-03-08 10:06:00,2013,3,10,Friday,QUEENS,11105.0,40.7710846,-73.9082189,0.0,0.0,Fatigued/Drowsy,VAN,,,,,,,
3937617,2018-07-08 20:55:00,2018,7,20,Sunday,BRONX,10466.0,40.89831,-73.85037,1.0,0.0,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,3.0,1.0,0.0,0.0,0.0,0.0,23.0
3344063,2015-11-30 14:45:00,2015,11,14,Monday,BROOKLYN,11221.0,40.6891029,-73.9450575,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
4031252,2018-11-22 12:30:00,2018,11,12,Thursday,UNKNOWN,,40.753693,-73.89831,0.0,0.0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,27.0
3904988,2018-05-21 16:10:00,2018,5,16,Monday,BROOKLYN,11237.0,40.70541,-73.92874,0.0,0.0,Passing or Lane Usage Improper,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,30.0
